ID,o2sn,emsn1,emsn2,emsn3,emsn4,emsn5,emsn6,emsn7,emsn8,emsn9,emsn10,z,EMLINE_data0,HIT_PAR2_data0,HIT_PAR3_data0,HIT_PAR4_data0,HIT_CHI2_data0,HIT_FWHM_data0,G_FAIL_data0,EMLINE_data1,HIT_PAR2_data1,HIT_PAR3_data1,HIT_PAR4_data1,HIT_CHI2_data1,HIT_FWHM_data1,G_FAIL_data1,EMLINE_data2,HIT_PAR2_data2,HIT_PAR3_data2,HIT_PAR4_data2,HIT_CHI2_data2,HIT_FWHM_data2,G_FAIL_data2,EMLINE_data3,HIT_PAR2_data3,HIT_PAR3_data3,HIT_PAR4_data3,HIT_CHI2_data3,HIT_FWHM_data3,G_FAIL_data3,EMLINE_data4,HIT_PAR2_data4,HIT_PAR3_data4,HIT_PAR4_data4,HIT_CHI2_data4,HIT_FWHM_data4,G_FAIL_data4,EMLINE_data5,HIT_PAR2_data5,HIT_PAR3_data5,HIT_PAR4_data5,HIT_CHI2_data5,HIT_FWHM_data5,G_FAIL_data5,EMLINE_data6,HIT_PAR2_data6,HIT_PAR3_data6,HIT_PAR4_data6,HIT_CHI2_data6,HIT_FWHM_data6,G_FAIL_data6,EMLINE_data7,HIT_PAR2_data7,HIT_PAR3_data7,HIT_PAR4_data7,HIT_CHI2_data7,HIT_FWHM_data7,G_FAIL_data7,EMLINE_data8,HIT_PAR2_data8,HIT_PAR3_data8,HIT_PAR4_data8,HIT_CHI2_data8,HIT_FWHM_data8,G_FAIL_data8,EMLINE_data9,HIT_PAR2_data9,HIT_PAR3_data9,HIT_PAR4_data9,HIT_CHI2_data9,HIT_FWHM_data9,G_FAIL_data9,EMLINE_data10,HIT_PAR2_data10,HIT_PAR3_data10,HIT_PAR4_data10,HIT_CHI2_data10,HIT_FWHM_data10,G_FAIL_data10,EMLINE_data11,HIT_PAR2_data11,HIT_PAR3_data11,HIT_PAR4_data11,HIT_CHI2_data11,HIT_FWHM_data11,G_FAIL_data11,Hits
10000_57346_116_multiline,9.84807,0,0,0,0,7.21938,0,0,0,0,0,0.71383,2,0.182908503,1.881376907,0.587677159,0.0552319,2.307749226,0,3,0.763390723,2284.43478,0.124331683,0.117261033,1.715310383,0,4,-0.245393752,9.420141485,2.563196356,0,5.993684081,0,5,-0.447995521,0.611957763,4.511580036,0.049628593,9.196516346,0,6,2.936336254,1.982871639,4.355611476,1.94E-10,8.944059966,0,7,1.911954952,1.147124969,0.731224525,0.034162289,2.768476508,0,8,0.94150734,1.728266371,0.189770179,0.00022041,2.334053937,0,9,-1.05079829,1.476765496,8.323211445,0.141283571,,0,10,0.17087428,9.786762537,-0.231621248,0.016800893,2.385453699,0,11,-0.532296271,1.334085636,6.547701832,0.086298765,,0,0,-0.44160534,1.412720956,1.412720956,0.346444043,1.556333587,0,1,1.422592623,1.983385752,0.533199646,0.359276382,2.897465745,0,bad
10000_57346_124_multiline,0,1.68811,5.44073,0,0,0,0,0,4.05273,0,1.19026,0.099937,0,-0.244754374,2.023725987,2.023725987,0.819509311,1.089243817,0,1,0.131594359,0.703358817,0.245396703,1.433560542,1.196969204,0,2,0.944512355,1.315515344,0.015646341,1.160402947,,0,3,-0.202900524,1892.145142,-0.126628288,0,1.419611141,0,4,-0.180798124,0.110043324,0.916968729,2.165641066,2.630774902,0,5,-0.9751098,1.198984879,11.19274419,1.09914929,11.40392979,0,6,-0.437912035,0.753109125,2,0,4.731918049,0,7,-0.437912035,0.550980544,2,0,4.950850276,0,8,-0.196011606,1.509574415,2.198687967,0.049069967,5.36805072,0,9,-0.026442115,0.184832153,2.416501489,0.529817549,5.947548731,0,10,0.065831672,0.582742602,0.803666984,0.000244401,2.533741767,0,11,-0.51669912,1.799032709,0.270647345,3.62E-07,1.159157377,0,bad
10000_57346_125_oneline,15.734,0,0.71414,0.486063,0,0.616556,0.896988,2.20671,1.42808,0,0,0.31422,0,1.218566067,1.496916206,1.496916206,1.107854736,,0,1,-0.159553614,0.780581407,-0.036538048,0.6075729,,0,2,0.10539348,0.747329499,0.149858846,0.06493183,1.514073658,0,3,-0.321090127,0.723779204,5.78305889,0.17960658,,0,4,-0.28345168,0.789003248,3.987614793,0.0016016,9.150946939,0,5,-0.015199282,0.680955195,0.658295966,0.41209083,2.836148796,0,6,0.010068537,0.40817411,0.858356893,0.059337856,3.438251778,0,7,0.302580565,0.988165315,0.565864467,2.75E-07,2.37106536,0,8,-0.017573165,0.989360795,1.053156499,0.001952293,3.619870342,0,9,-0.240170866,1.700613049,0.767003629,0.117643333,3.586406354,0,10,-0.231769338,3.258077394,0.381570734,1.06E-06,2.451458869,0,11,1.444404188,1.197257091,1.01770292,0.465643829,2.487853168,0,bad
10000_57346_146_oneline,6.04805,0,0.733209,1.10022,1.52694,0,0,0,0,0,0,1.05148,0,0.592972217,0.200031411,0.982327704,0.228505121,2.158527883,0,1,-0.243303009,0.769390256,0.19025086,0.066830941,2.234363036,0,2,0.000871904,1.05079734,0.779138046,4.27E-06,2.977954494,0,3,0.106601883,2.07082064,0.236031309,0.250961876,2.672809129,0,4,0.536109747,1.617908066,0.557909667,1.776643554,2.729538701,0,5,3.150985005,2.88910239,2,0,5.508842627,0,6, , , , , ,1,7, , , , , ,1,8, , , , , ,1,9, , , , , ,1,10, , , , , ,1,11,0.526108827,0.889537468,0.758065565,0.020413101,2.902326746,0,bad
10000_57346_192_oneline,6.28542,0.359201,0.577766,0,0,0,0,0,0,0,0,0.631052,5,0.316280528,0.915205379,0.473376143,0.033680979,2.22430067,0,6,-0.607544169,15.51969091,0.218586517,0.011681752,2.225921242,0,7,-0.231295514,0.518275978,0.153842564,0.002304797,2.231182033,0,8,-0.050758572,2969.607978,0.021792902,0.082788206,,0,9,0.001629678,0.406221024,0.88498092,0.000401655,2.66565132,0,10,-0.572195302,0.774874106,5.586583113,0.100044794,9.353114418,0,11,-0.664392063,3.834638329,5.126263323,0.27567416,8.985314022,0,0,1.599197625,10.55810512,10.55339967,5.186834143,6.636712099,0,1,-9.71E-05,0.345529024,1.515927565,0.031883806,3.665457601,0,2,-0.053503952,6.242990763,0.145891502,0.115127332,1.475362848,0,3,-0.135306573,1.096416366,0.556935923,0.011309877,2.640847634,0,4,0.19248576,0.539766549,1.309847542,0.087388471,3.227941177,0,bad
10000_57346_224_multiline,4.87171,0,0.331284,0,0,4.32162,0,0,0,0,0,0.858095,2,-0.822003081,1.684942756,5.200120061,1.119684027,9.782932749,0,3,0.183284786,0.524587523,18.20256572,0.341112405,,0,4,-0.07656988,0.60435078,-0.615280459,0.06510689,2.711062701,0,5,0.042178524,0.249421134,0.607894206,0.027328212,2.358151122,0,6,0.943541508,1.995132769,2,0,4.725173487,0,7,0.64886227,1.337001459,2,0,4.91240901,0,8,-1.037595293,2.228154074,9.291809344,0.115471518,9.34492926,0,9,-0.361244935,0.742863401,2,0,5.081864263,0,10,-0.725611909,0.967937608,4.522055279,0.075215186,8.477022728,0,11,-0.031790292,0.796706161,0.457462381,0.056882012,1.905984195,0,0,0.231350954,0.845961859,0.903321655,0.461752511,,0,1,-0.346870948,2.317045677,-0.402767208,2.30E-06,1.887168502,0,bad
10000_57346_293_multiline,4.09974,0.713869,4.11434,0.210116,1.29207,0.00602041,0.834576,0.860899,0.900018,0,0,0.562672,0,0.457764419,3.589226322,1.251131458,0.276572309,,0,1,-0.63627854,0.763791699,5.530249392,0.268975584,10.66935476,0,2,0.293128079,0.883766395,0.749898001,0.024686556,2.361829345,0,3,0.009870976,2.39144337,0.241180759,0.691980172,2.015619536,0,4,0.180886984,0.793307311,1.532107538,0.004379514,3.64135105,0,5,0.072819831,2765.090925,0.008114428,0.245367355,,0,6,0.34058858,8.732569679,0.530928882,1.85E-07,3.065201859,0,7,0.35289702,1.482347294,0.842892663,0.005833465,3.450176824,0,8,0.154742772,10.05500175,1.811408533,0.009479908,4.701653221,0,9, , , , , ,1,10, , , , , ,1,11,0.516735001,1.28184574,0.189364657,0.110096615,1.545644294,0,bad
10000_57346_301_oneline,7.03844,0,0.212859,0,0,0.726985,0,0,0,0,0,0.828806,1,-0.822019632,0.989526358,7.994894533,0.388702227,,0,2,-0.130229917,1.182203794,0.012897529,0.656747102,,0,3,0.036288294,0.775920145,-0.104091105,0.048951186,1.59579659,0,4,-0.899028659,0.954310045,7.267997926,0.142707669,,0,5,-0.376193493,1.375274876,0.493768924,0.056358853,2.242591041,0,6,0.022147469,1.262550104,0.240822049,0.286153617,2.152383496,0,7,-0.072760859,0.490671494,0.63923956,0.228721402,3.364227908,0,8,-0.028761381,0.683829715,0.667247176,4.40E-07,2.544939048,0,9,-0.080031182,1.04979736,0.701198972,0.017743494,3.313784323,0,10,0.006486459,39.08239084,0.195049196,1.247911691,2.213576053,0,11,0.90377917,0.906462634,0.756049216,0.235239879,1.835264085,0,0,0.656381361,0.883277901,0.883277901,0.042840041,8.827371947,0,bad
10000_57346_344_multiline,0,0,4.14017,4.88939,0,0,0,0,0.342438,0.28459,0.0297837,0.385058,0,-0.108036315,1.435034761,1.435034761,0.945570176,1.388999018,0,1,-0.46411523,0.826496015,2.145127901,0.297054517,5.059468704,0,2,0.023515186,0.824130834,4.234986051,0.356171559,8.762943604,0,3,-0.074599269,0.858852354,4.410247849,0.314664489,8.905976583,0,4,-0.418950652,1.035192041,2,0,4.785301991,0,5,-0.495486702,0.534843257,7.916027349,0.152739653,,0,6,-0.03610887,0.003999325,1.634763661,0.48976916,4.540671589,0,7,-0.276499396,0.562584203,1.804029802,0.050119057,4.264887632,0,8,0.041515539,3225.063297,0.059179565,0.516390416,,0,9,0.047256592,0.638005906,-0.002391488,0.422210031,,0,10,0.079681071,1.794456613,0.143963101,0.030295802,2.498298487,0,11,-0.103469127,1.781630027,0.372785316,1.31E-06,1.603915669,0,bad
10000_57346_354_oneline,6.41384,0,0,0,0,0,0,0,0,0,0,1.27545,1,-0.242682366,1827.541823,0.141939874,0.079429707,2.20046441,0,2,-0.119942392,1.177266194,0.350789082,6.64E-08,1.741617804,0,3,0.037062834,0.681108142,0.441213966,0.216990068,2.665152235,0,4,-0.280920296,2349.673053,0.172771776,0.117383264,2.673354982,0,5,-0.397970393,1.309064692,0.741613956,0.138795958,2.52973045,0,6,-0.084767891,0.131738183,2.181792418,0.256660058,5.353175182,0,7,0.126501457,184.5432352,0.173650348,0.128122553,2.19496293,0,8,0.00402523,2.497504253,0.536471688,0.777061093,3.30727815,0,9,0.318551626,1.201010967,0.582176094,1.93E-06,2.377603828,0,10,0.392814362,0.523093203,2.163743793,0.340396054,5.141219111,0,11,1.587886924,1.959319238,0.40840845,0.047876107,2.090832746,0,0,0.61990685,0.716473854,0.716473854,0.442173204,,0,bad
